Name,Address,Postcode
Aesop,185-191  REGENT STREET W1B 4JP LONDON 020 3238 0100,W1B 4JP
Akasha Holistic Wellbeing Centre,50 REGENT STREET W1B 4DY 020 7406 3360,W1B 4DY
Alex Dilling at Hotel Café Royal,"HOTEL CAFÉ ROYAL, 68 REGENT STREET, LONDON W1B 4DY +4420 7459 4922",W1B 4DY
All Bar One,289-293 REGENT STREET W1B 2HJ 020 7636 8197,W1B 2HJ
AllSaints,240  REGENT STREET W1B 3BR 020 7292 2540,W1B 3BR
Amalfi Ristorante,25 ARGYLL STREET SOHO LONDON W1F 7TU 020 33753251,W1F 7TU
Anthropologie,158 REGENT STREET W1B 5SW 0207 529 9800,W1B 5SW
Apple,235 REGENT STREET W1B 2EL 020 7153 9000,W1B 2EL
Aqua Kyoto,240  REGENT STREET W1B 3BR 020 7478 0540,W1B 3BR
Aqua Nueva,240 REGENT STREET W1B 3BR 020 7478 0540,W1B 3BR
Aqua Spirit,240 REGENT STREET W1B 3BR 0207 478 0540,W1B 3BR
The Araki,"12 NEW BURLINGTON STREET,  UNIT 4 W1S 3BF 0207 287 2481",W1S 3BF
Arket,"224 REGENT STREET, W1B 3BR",W1B 3BR
Armani Exchange,"ARMANI EXCHANGE,  129 REGENT STREET,  LONDON, W1B 4HT",W1B 4HT
Artesian,"1C PORTLAND PLACE,  REGENT STREET  W1B 1JA 020 7636 1000",W1B 1JA
Arthur's Restaurant,208-222 REGENT STREET W1B 5AH 020 7734 1234,W1B 5AH
The Avocado Show,6 PRINCES STREET LONDON W1B 2LG 075 9456 1103,W1B 2LG
Bally Haus London,"106 -112 REGENT ST, LONDON W1B 5NL 020 4566 9605",W1B 5NL
Bar Americain,20 SHERWOOD STREET W1F 7ED 020 7734 4888,W1F 7ED
Bar Remo,2 PRINCES STREET  W1B 2LB 020 7629 1715,W1B 2LB
Barbour,73-77 REGENT STREET W1B 4EF 0207 434 0880,W1B 4EF
Barker Shoes,215 REGENT STREET W1B 4NG 020 7494 3069,W1B 4NG
Barry's,"59 KINGLY STREET, SOHO, LONDON, W1B 5QL",W1B 5QL
Belstaff,"203 REGENT STREET, W1B 4NB 020 7734 1339",W1B 4NB
Bentley’s Oyster Bar & Grill,11-15 SWALLOW STREET W1B 4DG 020 7734 4756,W1B 4DG
Beyond Retro,19-21 ARGYLL STREET LONDON W1F 7TR 020 7729 9001,W1F 7TR
BIMBA Y LOLA,"211-213 REGENT ST., LONDON W1B 4NF +44 (0) 2075848174",W1B 4NF
Boggi Milano,"144 REGENT STREET, LONDON, W1B 5SQ",W1B 5SQ
Boots Pharmacy,302 REGENT STREET  W1B 3AS 020 7637 9418,W1B 3AS
BOSS,178-182  REGENT STREET  W1B 5TW 0207 734 7919,W1B 5TW
BOTTLETOP,84 REGENT STREET  W1B 5RS 07519 406492,W1B 5RS
Brasserie Zédel,20  SHERWOOD STREET W1F 7ED 020 7734 4888,W1F 7ED
Breitling,BREITLING TOWNHOUSE 198 REGENT STREET LONDON W1B 5TP +44 (0) 203 988 2224,W1B 5TP
Burberry,121 REGENT STREET W1B 4TB 0207 806 8904,W1B 4TB
Byron,4-5 LANGHAM PLACE W1B 3DG 020 7580 2888,W1B 3DG
Caffe Concerto,79 REGENT STREET W1B 4EG 020 7494 6842,W1B 4EG
Cakes & Bubbles,"68 REGENT STREET, LONDON W1B 4DY 02074063310",W1B 4DY
Calvin Klein,170 REGENT STREET W1B 5TB 020 7434 0141,W1B 5TB
Camper,207-209 REGENT STREET W1B 4ND 020 7434 1144,W1B 4ND
Canada Goose,"244 REGENT STREET, LONDON W1B 3BR 020 7734 9398",W1B 3BR
carpo,10 GLASSHOUSE STREET W1B 5RL 020 7287 7233,W1B 5RL
Casa do Frango,"31-33 HEDDON STREET,  LONDON,  W1B 4BN 020 3535 5900",W1B 4BN
Charles Tyrwhitt .,218 REGENT STREET W1B 5RT 020 7437 0894,W1B 5RT
Chuan Body + Soul,"1C PORTLAND PLACE, REGENT STREET W1B 1JA 020 7973 7550",W1B 1JA
Church's Shoes,201 REGENT STREET W1B 4NA 0207 734 2438,W1B 4NA
Coach,206 REGENT STREET W1B 5BN 020 7734 8472,W1B 5BN
COS,222 REGENT STREET W1B 5BD 020 3139 2440,W1B 5BD
